,v,vw,o,c,h,l,t,n
0,46851844.0,64.5591,65.998,64.02,66.88,63.59,1672722000000.0,273157.0
1,47477139.0,64.6354,65.0,64.66,65.79,63.31,1672808400000.0,271181.0
2,46159549.0,63.095,64.15,62.33,64.35,62.3,1672894800000.0,261334.0
3,70161340.0,62.4135,63.145,63.96,64.3,60.05,1672981200000.0,378038.0
4,69741257.0,68.0088,66.22,67.24,69.32,65.67,1673240400000.0,384973.0
5,41149630.0,67.5686,66.67,68.05,68.15,66.56,1673326800000.0,216762.0
6,44470060.0,68.2141,68.39,69.06,69.13,67.2201,1673413200000.0,235797.0
7,70066161.0,69.8918,70.07,70.8,71.65,67.18,1673499600000.0,384746.0
8,45757358.0,70.379,69.84,71.0,71.1,69.23,1673586000000.0,269328.0
9,42621340.0,71.688,70.87,71.59,72.66,70.653,1673931600000.0,244994.0
10,39538725.0,71.3745,71.87,70.53,72.78,70.5,1674018000000.0,275013.0
11,47189852.0,68.2042,68.975,67.71,69.2536,67.265,1674104400000.0,286257.0
12,47752993.0,68.9354,68.01,70.07,70.13,67.45,1674190800000.0,267666.0
13,84293199.0,75.2168,72.225,76.53,76.59,71.54,1674450000000.0,483670.0
14,60822606.0,74.4626,73.75,74.7,75.6412,73.42,1674536400000.0,362768.0
15,49932595.0,73.6339,72.9,74.91,75.12,72.09,1674622800000.0,284401.0
16,49583948.0,75.0941,76.5,75.16,77.0798,74.28,1674709200000.0,309742.0
17,58118610.00000001,75.4344,73.7,75.4,76.74,73.49,1674795600000.0,375303.0
18,48105243.0,73.2063,74.23,72.45,74.64,72.4,1675054800000.0,315119.0
19,71376607.0,74.5293,72.26,75.15,75.2,72.03,1675141200000.0,446186.0
20,152548240.0,81.6626,78.47,84.64,85.48,77.88,1675227600000.0,920680.0
21,97762090.99999999,87.049,84.29,88.31,88.9388,83.2,1675314000000.0,614475.0
22,66469818.0,87.0915,86.655,86.09,88.8014,85.83,1675400400000.0,403831.0
23,53008890.0,84.4158,84.63,83.68,86.28,83.224,1675659600000.0,334226.0
24,65291914.0,84.3135,84.32,85.91,86.25,82.52,1675746000000.0,371943.0
25,54140448.0,85.8176,85.88,84.69,88.0,84.54,1675832400000.0,316119.0
26,46525397.0,84.9147,85.88,83.21,86.67,82.76,1675918800000.0,292631.0
27,49332598.0,81.3961,82.29,81.48,82.71,80.47,1676005200000.0,313347.0
28,45400007.99999999,82.7788,81.57,83.13,84.15,80.9,1676264400000.0,249817.0
29,55979653.0,84.8765,82.7,85.95,86.185,81.7672,1676350800000.0,358781.0
30,46483152.0,84.4961,85.1,85.18,85.89,83.32,1676437200000.0,297992.0
31,57755165.99999999,81.9227,82.98,80.08,83.35,80.05,1676523600000.0,377176.0
32,47803102.0,78.2334,79.6,78.5,79.6498,77.37,1676610000000.0,318712.0
33,44045643.0,77.1946,77.15,76.77,78.455,76.45,1676955600000.0,264742.0
34,50286804.0,76.8451,76.93,76.61,78.1299,75.9201,1677042000000.0,288648.0
35,76391342.0,79.6078,80.63,79.75,81.79,77.965,1677128400000.0,491712.0
36,46700007.0,77.8042,77.75,78.09,78.81,76.94,1677214800000.0,274382.0
37,45617297.0,79.1662,79.64,78.77,80.12,78.53,1677474000000.0,264293.0
38,44220135.0,78.7711,77.872,78.58,80.14,77.42,1677560400000.0,263968.0
39,44265983.99999999,78.7173,78.55,78.29,80.2869,77.8813,1677646800000.0,279288.0
40,60185875.0,78.6727,77.57,80.44,80.92,76.65,1677733200000.0,360275.0
41,54536217.0,80.5815,80.4,81.52,81.63,79.34,1677819600000.0,331633.0
42,54541281.0,82.0124,82.03,81.16,83.2986,81.04,1678078800000.0,332531.0
43,70959009.0,82.5233,81.07,82.11,84.85,80.665,1678165200000.0,396194.0
44,69529838.0,84.4954,82.79,85.37,85.77,82.28,1678251600000.0,411845.0
45,79496691.0,85.8294,85.29,84.03,87.81,83.59,1678338000000.0,454813.0
46,70273562.0,83.2247,84.47,82.67,85.45,81.63,1678424400000.0,411240.0
47,65269120.0,81.8209,81.39,82.01,83.83,78.515,1678680000000.0,431092.0
48,66616320.0,86.9617,83.67,87.45,88.3,83.59,1678766400000.0,453249.0
49,86149424.0,88.0863,86.77,89.68,90.42,86.215,1678852800000.0,572193.0
50,115939649.0,94.631,89.72,96.6,96.69,89.02,1678939200000.0,731258.0
51,93935764.0,97.1991,96.66,97.84,98.75,95.9364,1679025600000.0,548738.0
52,92008949.0,94.9906,96.3,96.81,96.94,92.9,1679284800000.0,561017.0
53,85285333.0,96.183,97.0,95.93,99.4646,93.64,1679371200000.0,518035.0
54,110816317.00000001,98.7026,95.65,97.58,101.7,95.64,1679457600000.0,674759.0
55,84016399.0,100.814,100.05,100.28,102.43,98.671,1679544000000.0,507813.0
56,64696198.0,97.8848,99.18,97.95,99.52,96.74,1679630400000.0,422233.0
57,57413354.0,96.8705,98.02,96.61,98.93,95.425,1679889600000.0,368019.0
58,59070600.00000001,93.8693,96.77,94.56,96.94,92.87,1679976000000.0,403922.0
59,55325974.0,95.9156,96.07,96.09,96.91,94.87,1680062400000.0,341939.0
60,59678531.0,98.2611,98.0,97.88,99.53,97.25,1680148800000.0,351397.0
61,55857466.0,97.0887,96.34,98.01,98.36,95.27,1680235200000.0,362610.0
62,50655332.0,95.835,96.695,96.56,96.79,94.81,1680494400000.0,353525.0
63,43195876.0,96.2273,97.038,95.87,97.27,95.21,1680580800000.0,279130.0
64,52979281.0,92.5711,94.35,92.56,94.5,91.36,1680667200000.0,376643.0
65,47778378.0,92.1635,91.47,92.47,92.9148,90.62,1680753600000.0,320777.0
66,52536324.0,94.2761,91.32,95.48,95.795,91.02,1681099200000.0,328413.0
67,51582200.0,93.9645,96.06,94.03,96.07,92.69,1681185600000.0,320443.0
68,53383123.99999999,93.0348,94.97,92.33,95.0,91.74,1681272000000.0,340765.0
69,40572482.0,92.422,92.79,92.09,93.16,91.83,1681358400000.0,259345.0
70,38734794.0,91.6233,91.82,91.75,92.97,90.5,1681444800000.0,250101.0
71,47234822.0,89.4384,90.23,89.87,90.69,88.3,1681704000000.0,354254.0
72,46246286.0,90.4836,91.61,89.78,92.16,89.33,1681790400000.0,292807.0
73,37344502.0,89.7041,88.51,89.94,90.54,88.22,1681876800000.0,242823.0
74,47082684.0,90.5483,88.825,90.11,91.5795,88.73,1681963200000.0,285441.0
75,40818264.0,88.8502,89.8,88.43,89.8,88.055,1682049600000.0,270008.0
76,40373789.0,87.3565,88.11,87.57,88.64,86.34,1682308800000.0,274439.0
77,52771477.00000001,85.0486,86.9,83.8,87.06,83.76,1682395200000.0,341559.0
78,47786564.0,86.3013,86.51,85.94,87.35,85.32,1682481600000.0,331809.0
79,52246613.0,86.1967,86.41,87.44,87.565,84.09,1682568000000.0,346166.0
80,50671653.0,88.2564,87.02,89.37,89.75,86.44,1682654400000.0,350456.0
81,59358710.0,89.7743,91.03,89.69,91.04,88.61,1682913600000.0,382939.0
82,70483508.0,89.0608,89.32,89.91,90.455,88.12,1683000000000.0,462178.0
83,109454572.0,82.5436,83.54,81.62,85.48,81.02,1683086400000.0,791300.0
84,122825068.0,86.4893,81.57,86.61,91.64,81.11,1683172800000.0,787257.0
85,78491108.0,88.4261,84.99,89.84,90.425,84.72,1683259200000.0,510917.0
86,95503215.00000001,93.4066,89.99,95.04,95.655,89.17,1683518400000.0,573688.0
87,68649288.0,94.9595,94.89,95.06,96.16,93.4281,1683604800000.0,414243.0
88,95595345.99999999,97.95,96.42,97.02,99.94,96.12,1683691200000.0,548622.0
89,57050034.0,97.2958,98.155,97.1,99.19,96.14,1683777600000.0,365286.0
90,53815709.0,95.1394,96.83,95.26,97.45,93.68,1683864000000.0,346423.0
91,51749212.0,95.7561,95.2,97.4,97.43,93.45,1684123200000.0,316157.0
92,90622884.0,101.6727,97.39,101.48,103.28,97.31,1684209600000.0,585179.0
93,75240894.0,102.549,101.79,103.75,104.14,100.05,1684296000000.0,437424.0
94,74334322.0,106.6793,103.98,107.93,108.1,103.93,1684382400000.0,485675.0
95,67880217.0,105.7556,106.36,105.82,107.29,104.6201,1684468800000.0,436625.0
96,65424234.0,107.2189,104.68,108.0,108.79,103.4923,1684728000000.0,393606.0
97,73099114.0,109.1562,107.25,108.12,110.99,107.19,1684814400000.0,461965.0
98,65910464.0,108.0779,105.98,108.27,108.91,105.64,1684900800000.0,462824.0
99,108514618.99999999,118.8751,117.305,120.35,120.69,115.8,1684987200000.0,876128.0
100,92922613.0,125.1512,122.46,127.03,127.43,120.89,1685073600000.0,641995.0
101,98902281.99999999,126.2905,130.415,125.27,130.79,123.51,1685419200000.0,719300.0
102,87552220.99999999,120.2932,122.42,118.21,123.96,117.86,1685505600000.0,635929.0
103,66032924.0,119.1036,117.29,119.47,121.28,116.6,1685592000000.0,466711.0
104,52382424.0,119.0538,120.75,117.86,121.66,117.675,1685678400000.0,390952.0
105,52602861.0,118.1953,116.59,117.93,119.32,116.42,1685937600000.0,376364.0
106,75257497.0,122.5775,117.91,124.23,124.42,117.74,1686024000000.0,519341.0
107,81755152.0,120.7467,124.025,117.83,125.34,117.07,1686110400000.0,574650.0
108,65246930.0,120.4194,118.295,121.05,122.21,117.05,1686196800000.0,445209.0
109,75105039.0,125.2776,123.57,124.92,127.25,123.55,1686283200000.0,533830.0
110,85673077.0,128.2007,128.52,129.19,130.48,126.4,1686542400000.0,603653.0
111,132461926.0,127.502,132.32,124.53,132.83,122.45,1686628800000.0,952290.0
112,95888117.00000001,126.3981,126.525,127.33,127.725,123.81,1686715200000.0,710265.0
113,85587115.0,123.8545,125.39,124.24,125.7,122.26,1686801600000.0,633457.0
114,81997783.0,121.5293,125.82,120.08,125.85,119.9,1686888000000.0,577142.0
115,58557777.0,118.9373,119.085,118.93,121.75,117.7,1687233600000.0,462629.0
116,82835622.0,113.7945,118.485,112.11,119.1888,111.67,1687320000000.0,646227.0
117,70396333.0,111.696,112.24,110.7,114.0,109.85,1687406400000.0,521113.0
118,73621951.0,109.6444,109.31,110.01,111.0957,107.46,1687492800000.0,502044.0
119,68105476.0,109.4237,110.95,107.51,112.55,107.2,1687752000000.0,496348.0
120,59381647.0,109.1732,108.565,110.39,110.97,107.08,1687838400000.0,413892.0
121,67534134.0,109.7094,108.21,110.17,111.78,107.63,1687924800000.0,516429.0
122,58347174.0,111.2679,112.065,111.24,112.7599,109.84,1688011200000.0,445437.0
123,53378774.0,113.8313,113.03,113.91,114.69,112.41,1688097600000.0,423604.0
124,31859976.0,115.4599,115.16,115.82,116.73,114.51,1688356800000.0,256962.0
125,49501584.0,115.2917,116.1,113.95,117.662,113.855,1688529600000.0,376450.0
126,42411839.99999999,112.2867,112.07,113.48,113.79,110.31,1688616000000.0,335192.0
127,37211287.0,114.3229,114.16,113.17,115.33,113.04,1688702400000.0,298607.0
128,49328004.0,112.0687,113.0,113.58,113.61,109.88,1688961600000.0,359344.0
129,59899536.0,110.8697,111.66,111.32,113.27,109.5,1689048000000.0,487337.0
130,57993090.0,114.0322,112.89,114.58,115.3999,112.3101,1689134400000.0,472178.0
131,49206695.0,114.9909,115.76,115.92,116.16,113.575,1689220800000.0,378750.0
132,91927197.0,118.693,116.17,115.94,122.12,115.25,1689307200000.0,644664.0
133,68587888.0,116.1037,115.95,118.32,118.8399,112.73,1689566400000.0,495227.0
134,57980077.0,116.8534,117.55,117.93,118.43,115.192,1689652800000.0,422520.0
135,70363051.0,117.6443,121.3,116.43,121.6699,115.55,1689739200000.0,521432.0
136,76340398.0,111.9324,114.96,110.25,115.05,109.24,1689825600000.0,606408.0
137,76310282.0,111.0209,110.97,110.95,112.3,109.54,1689912000000.0,461471.0
138,45638100.0,110.4384,110.617,110.61,111.31,108.55,1690171200000.0,357537.0
139,44916262.0,112.7034,111.14,113.0,114.05,111.0,1690257600000.0,323496.0
140,51721689.0,110.5883,111.91,110.09,112.36,109.3,1690344000000.0,411009.0
141,70677972.0,112.5042,111.79,111.1,115.08,110.51,1690430400000.0,503044.0
142,55525965.0,113.5291,113.38,112.96,114.86,112.44,1690516800000.0,396885.0
143,54125786.0,113.6595,114.16,114.4,114.68,112.35,1690776000000.0,395864.0
144,97282727.0,117.6239,114.26,117.6,118.19,113.16,1690862400000.0,740753.0
145,173371510.0,111.3264,119.49,109.35,119.5,107.38,1690948800000.0,1328159.0
146,90785958.0,113.0359,108.95,113.15,114.96,108.95,1691035200000.0,633380.0
147,83169685.99999999,116.4124,114.48,115.82,118.85,113.96,1691121600000.0,582901.0
148,65854765.00000001,117.1007,116.36,116.81,119.08,115.49,1691380800000.0,440634.0
149,54107529.0,113.0494,114.94,113.23,115.46,111.41,1691467200000.0,395381.0
150,56257067.0,110.8512,112.89,110.47,113.15,108.78,1691553600000.0,422094.0
151,57277992.0,111.3028,111.3,110.23,113.89,109.47,1691640000000.0,396561.0
152,55667745.0,107.6826,108.85,107.57,109.07,106.48,1691726400000.0,431322.0
153,57421820.0,109.8252,106.75,111.98,111.99,105.42,1691985600000.0,413244.0
154,53816569.0,111.6578,111.99,111.35,113.18,110.17,1692072000000.0,362505.0
155,54317698.0,108.0405,110.0863,107.19,110.4388,106.98,1692158400000.0,420299.0
156,59058775.0,105.2862,107.62,104.44,107.85,104.1,1692244800000.0,421821.0
157,59906537.0,104.3894,102.4,105.45,106.07,101.68,1692331200000.0,399910.0
158,49219240.0,107.1854,106.2,108.22,108.54,105.67,1692590400000.0,340931.0
159,47335086.00000001,106.3932,109.4,105.66,109.72,104.85,1692676800000.0,352036.0
160,54656329.0,108.7474,105.65,109.43,110.08,105.0,1692763200000.0,414233.0
161,109179129.0,103.4295,111.06,101.8,111.64,100.871,1692849600000.0,817743.0
162,74793086.0,101.7407,101.165,102.25,104.12,99.58,1692936000000.0,560799.0
163,55386803.0,102.3527,103.47,102.61,104.07,100.8944,1693195200000.0,356013.0
164,50850289.0,105.1443,102.11,105.92,106.57,101.79,1693281600000.0,387148.0
165,54844848.0,106.3023,105.402,106.59,107.67,104.5,1693368000000.0,350402.0
166,58918970.0,106.164,106.19,105.72,108.06,104.86,1693454400000.0,357511.0
167,54856147.99999999,108.6738,107.0,109.45,110.06,106.61,1693540800000.0,414462.0
168,66042191.0,109.6024,109.0,110.78,111.82,106.3,1693886400000.0,442460.0
169,47736701.0,109.519,110.56,109.28,111.33,108.22,1693972800000.0,324866.0
170,49080148.99999999,106.6619,106.14,106.59,107.69,105.09,1694059200000.0,348258.0
171,46228657.99999999,107.4445,107.02,106.09,109.737,105.75,1694145600000.0,317006.0
172,50611285.0,104.2998,107.315,105.32,107.51,103.0,1694404800000.0,389895.0
173,44413572.0,105.4019,104.2,105.31,106.74,103.18,1694491200000.0,304369.0
174,44702254.0,107.4203,105.1,107.71,108.74,104.83,1694577600000.0,309215.0
175,45920612.0,107.2794,108.43,106.63,109.1494,106.2212,1694664000000.0,295306.0
176,71103616.0,102.6426,106.07,101.49,106.76,101.28,1694750400000.0,487663.0
177,49048510.0,101.6231,100.815,102.37,102.99,99.45,1695009600000.0,351060.0
178,41704110.0,101.7925,101.75,101.61,102.8582,100.7,1695096000000.0,271606.0
179,55180576.0,101.9633,102.36,100.34,103.94,100.28,1695182400000.0,343232.0
180,59690034.99999999,96.9604,98.6,96.11,98.87,95.84,1695268800000.0,443292.0
181,52169394.99999999,96.9578,96.92,96.2,98.42,95.61,1695355200000.0,348639.0
182,43223749.0,96.4161,95.95,97.38,97.45,94.46,1695614400000.0,297026.0
183,42852460.0,96.2828,96.5,95.96,97.83,95.27,1695700800000.0,289443.0
184,50961502.0,97.7647,96.82,98.07,99.23,96.35,1695787200000.0,337607.0
185,72479806.0,102.0927,97.94,102.76,104.2,97.76,1695873600000.0,497894.0
186,56078641.00000001,103.5818,104.69,102.82,104.94,102.56,1695960000000.0,363506.0
187,45118574.0,102.6826,102.21,103.27,103.71,101.7,1696219200000.0,300024.0
188,48107980.0,100.8778,101.7963,100.08,103.29,99.17,1696305600000.0,330818.0
189,51023246.0,102.4031,100.65,104.07,104.4,100.34,1696392000000.0,339534.0
190,51789731.0,102.1163,103.405,102.91,103.74,100.27,1696478400000.0,334001.0
191,64864077.0,105.6808,102.16,107.24,107.87,102.03,1696564800000.0,438450.0
192,39593192.0,106.1219,106.01,106.97,107.31,104.79,1696824000000.0,269178.0
193,57105529.0,108.6411,107.49,109.01,110.12,106.4,1696910400000.0,372387.0
194,51085635.0,108.2995,109.14,108.31,110.1,106.93,1696996800000.0,317488.0
195,60959430.0,109.511,108.4,108.79,111.31,107.5101,1697083200000.0,390652.0
196,52925932.0,106.1002,108.65,105.09,108.97,104.75,1697169600000.0,394982.0
197,42451910.99999999,106.5934,105.42,106.46,107.48,105.03,1697428800000.0,270433.0
198,49566114.0,104.6061,103.54,105.14,106.29,101.6601,1697515200000.0,358141.0
199,50387052.0,102.9893,103.38,102.17,104.78,101.74,1697601600000.0,342146.0
200,52345001.0,103.5932,103.81,102.4,105.6,101.84,1697688000000.0,356587.0
201,61317927.0,102.375,102.28,101.81,104.34,101.44,1697774400000.0,359695.0
202,50816720.0,101.0363,100.812,100.01,102.42,99.315,1698033600000.0,356332.0
203,51982918.0,100.5747,100.97,101.67,101.7899,99.38,1698120000000.0,338215.0
204,53420637.0,97.4594,100.42,96.055,101.03,95.23,1698206400000.0,436308.0
205,49878530.0,94.5949,95.99,93.67,97.52,93.115,1698292800000.0,379353.0
206,52433653.0,96.2299,95.8,96.43,97.35,94.59,1698379200000.0,389437.0
207,43716964.0,95.886,96.14,96.18,97.04,92.74,1698638400000.0,308463.0
208,79522376.0,96.97710000000001,96.235,98.5,98.8188,94.07,1698724800000.0,516776.0
209,138641522.0,105.1579,98.58,108.04,108.15,98.5,1698811200000.0,957898.0
210,71376954.0,107.8229,107.96,107.83,109.405,105.91,1698897600000.0,470542.0
211,65632202.0,111.2378,109.05,112.25,113.39,107.86,1698984000000.0,442799.0
212,49257170.0,111.5228,112.6,111.75,113.08,110.22,1699246800000.0,338361.0
213,50542151.00000001,113.3442,111.86,113.45,114.65,111.22,1699333200000.0,352264.0
214,41858606.0,113.7467,113.55,113.59,115.3166,112.88,1699419600000.0,303663.0
215,61051588.0,114.3559,114.095,113.49,115.81,113.06,1699506000000.0,425961.0
216,75170072.0,117.8985,114.35,118.59,119.7,114.03,1699592400000.0,524901.0
217,46741889.0,116.8862,118.34,116.79,118.68,116.0,1699851600000.0,380183.0
218,61017449.0,120.4074,119.7,119.88,122.11,119.22,1699938000000.0,458068.0
219,59555593.0,118.402,120.54,118.0,120.59,116.8701,1700024400000.0,470711.0
220,49661870.0,119.4481,117.2,119.83,120.726,116.41,1700110800000.0,363927.0
221,38537695.0,120.4054,119.64,120.62,121.49,118.82,1700197200000.0,289494.0
222,43173325.0,121.244,120.7,121.53,121.93,120.07,1700456400000.0,271817.0
223,40893550.0,119.0956,120.54,119.16,120.65,117.94,1700542800000.0,312497.0
224,56861486.0,122.8951,120.0,122.51,124.7623,119.9516,1700629200000.0,438127.0
225,19001007.0,122.483,122.03,122.31,123.25,121.54,1700802000000.0,149537.0
226,32123706.0,123.007,122.07,122.65,123.89,121.772,1701061200000.0,237919.0
227,31847063.000000004,121.7316,121.98,122.01,122.54,120.79,1701147600000.0,240263.0
228,37876317.0,124.4605,123.98,123.85,125.725,123.48,1701234000000.0,292400.0
229,44468691.0,121.1014,123.61,121.16,124.05,119.65,1701320400000.0,306088.0
230,37048002.0,120.4607,119.88,121.39,121.4001,118.645,1701406800000.0,293115.0
231,39854418.0,118.083,119.75,118.57,119.9,116.37,1701666000000.0,309370.0
232,39191565.0,117.7106,117.43,118.38,118.49,116.45,1701752400000.0,293093.0
233,60499029.0,118.9038,120.69,116.82,122.8313,116.38,1701838800000.0,468513.0
234,118567397.00000001,125.4353,120.785,128.37,128.68,119.56,1701925200000.0,855171.0
235,89241014.0,128.9023,129.54,128.92,131.0,126.89,1702011600000.0,618256.0
236,98668281.0,133.084,130.56,134.41,135.04,128.25,1702270800000.0,679317.0
237,111677821.00000001,136.9054,132.25,137.61,139.89,131.9,1702357200000.0,744652.0
238,70630403.0,137.5428,137.97,138.19,139.24,136.0303,1702443600000.0,505721.0
239,76115174.0,138.7576,138.89,138.0,141.82,135.725,1702530000000.0,560401.0
240,70161795.0,139.1327,139.52,139.15,140.89,137.25,1702616400000.0,457544.0
241,45199453.0,138.8022,139.15,138.9,139.79,137.65,1702875600000.0,335816.0
242,63688081.0,140.5504,138.57,140.15,143.47,138.555,1702962000000.0,436792.0
243,54671715.0,137.6107,139.0,135.47,139.58,135.37,1703048400000.0,409067.0
244,47179361.99999999,138.9095,138.14,139.91,139.98,137.38,1703134800000.0,364403.0
245,35156582.0,139.6862,140.48,139.6,140.7,138.31,1703221200000.0,281114.0
246,47157430.0,142.3867,140.07,143.41,143.85,139.92,1703566800000.0,312064.0
247,49033420.0,144.9343,144.72,146.07,146.25,143.18,1703653200000.0,361911.0
248,63800680.0,148.8649,146.8,148.76,150.41,145.9506,1703739600000.0,413888.0
249,62079185.0,148.7663,149.5,147.41,151.05,147.2,1703826000000.0,430312.0
250,64902029.0,139.6752,144.28,138.58,144.4,137.43,1704171600000.0,558982.0
251,61984583.00000001,135.2871,135.71,135.32,137.43,133.7413,1704258000000.0,491379.0
252,58610286.0,136.4357,134.3,136.01,137.7,134.0,1704344400000.0,421089.0
253,69657676.0,139.0252,136.78,138.58,141.01,136.4377,1704430800000.0,443633.0
254,71756913.0,144.8903,140.36,146.18,147.15,140.15,1704690000000.0,508715.0
255,67875666.0,148.0984,145.95,149.26,149.86,145.08,1704776400000.0,489981.0
256,56951243.0,148.2975,150.07,148.54,150.88,146.65,1704862800000.0,413271.0
257,62764597.0,146.8616,148.52,148.02,150.38,143.69,1704949200000.0,460051.0
258,48282089.0,146.5386,148.04,146.56,148.75,145.0,1705035600000.0,338847.0
259,112711433.99999999,156.6853,150.36,158.74,159.715,149.98,1705381200000.0,881877.0
260,104084985.00000001,157.9065,158.45,160.17,160.64,154.4,1705467600000.0,770014.0
261,131807138.00000001,163.1494,166.2,162.67,168.6,158.22,1705554000000.0,951911.0
262,140280929.0,168.3531,165.8,174.23,174.25,162.2,1705640400000.0,982891.0
263,122973822.0,168.2782,174.39,168.18,174.72,164.15,1705899600000.0,1000196.0
264,76830455.0,167.8756,166.5,168.42,169.6299,164.27,1705986000000.0,598013.0
265,125489387.00000001,177.4049,172.55,178.29,180.58,170.56,1706072400000.0,968834.0
266,127148298.0,181.2341,183.41,180.33,184.92,177.63,1706158800000.0,1031684.0
267,107380272.0,177.7887,175.29,177.25,181.23,174.15,1706245200000.0,830790.0
268,89222652.0,176.4501,178.77,177.83,178.885,174.4,1706504400000.0,728172.0
269,122118707.0,173.1167,176.13,172.06,178.48,169.52,1706590800000.0,1063615.0
270,133014484.0,167.1217,165.74,167.69,171.3,162.5602,1706677200000.0,1097270.0
271,91576685.0,168.7462,169.27,170.48,171.14,165.86,1706763600000.0,681908.0
272,82095866.0,176.9151,173.79,177.66,179.0,173.05,1706850000000.0,754734.0
273,76349244.0,174.689,179.09,174.23,180.01,171.11,1707109200000.0,625350.0
274,68854127.0,168.1424,173.15,167.88,173.88,165.5,1707195600000.0,618796.0
275,53665418.0,170.4948,169.47,170.94,172.97,168.2,1707282000000.0,443334.0
276,43385275.0,170.165,170.33,169.35,172.17,168.6,1707368400000.0,403893.0
277,56375713.0,172.2819,171.0,172.48,175.1,168.6601,1707454800000.0,466068.0
278,58177053.0,174.3909,172.68,171.91,177.405,170.67,1707714000000.0,548333.0
279,63071311.0,170.3399,167.94,171.54,173.17,164.3,1707800400000.0,601190.0
280,57402521.99999999,176.4646,173.47,178.7,178.74,172.88,1707886800000.0,556501.0
281,51126436.99999999,177.0949,179.14,176.76,180.5,175.26,1707973200000.0,474227.0
282,53233642.0,175.6032,177.45,173.87,180.3301,173.25,1708059600000.0,490113.0
283,66549992.0,165.0389,171.14,165.69,171.81,162.0,1708405200000.0,697006.0
284,48774556.0,163.7694,162.74,164.29,164.9,161.81,1708491600000.0,483937.0
285,100684733.0,180.4102,173.2,181.86,183.83,172.0,1708578000000.0,958680.0
286,69207367.0,177.5534,181.86,176.52,183.8,174.55,1708664400000.0,661272.0
287,45435093.0,176.7206,178.78,176.01,179.84,174.81,1708923600000.0,437287.0
288,43590840.99999999,176.7664,175.92,178.0,178.46,172.49,1709010000000.0,417002.0
