,v,vw,o,c,h,l,t,n
0,189.0,0.7377,0.7369,0.7385700000000001,0.73865,0.7355400000000001,1672531200000.0,189.0
1,29096.0,0.7372000000000001,0.7385600000000001,0.73724,0.7414000000000001,0.7345919,1672617600000.0,29096.0
2,57315.0,0.7341000000000001,0.737,0.7311000000000001,0.73943,0.7303801999999999,1672704000000.0,57315.0
3,61281.0,0.7377,0.73133,0.7414900000000001,0.7423500000000001,0.7312000000000001,1672790400000.0,61281.0
4,56763.0,0.7388,0.74138,0.73726,0.7418300000000001,0.7354,1672876800000.0,56763.0
5,55223.0,0.7383000000000001,0.73728,0.7434000000000001,0.7443700000000001,0.7316,1672963200000.0,55223.0
6,31.0,0.7434000000000001,0.7433839,0.7433839,0.7435,0.7433839,1673049600000.0,31.0
7,2067.0,0.7439,0.7435,0.7442000000000001,0.7444200000000001,0.7411800000000001,1673136000000.0,2067.0
8,56115.0,0.7467,0.7442000000000001,0.74655,0.7486100000000001,0.7436602999999999,1673222400000.0,56115.0
9,56974.0,0.7459,0.7464000000000001,0.74431,0.7475600000000001,0.7436900000000001,1673308800000.0,56974.0
10,49280.0,0.7447,0.7443200000000001,0.7445,0.7459800000000001,0.7437,1673395200000.0,49280.0
11,58136.0,0.7462000000000001,0.74453,0.7474200000000001,0.7492800000000001,0.7428,1673481600000.0,58136.0
12,51980.0,0.7469,0.74751,0.7459903,0.7506100000000001,0.7439,1673568000000.0,51980.0
13,6.0,0.7461,0.7462000000000001,0.7459903,0.7462000000000001,0.7459903,1673654400000.0,6.0
14,2054.0,0.7464000000000001,0.7448800000000001,0.7463000000000001,0.7467800000000001,0.7448800000000001,1673740800000.0,2054.0
15,20494.0,0.7465,0.7467100000000001,0.74626,0.7475,0.7451565,1673827200000.0,20494.0
16,48227.0,0.7462000000000001,0.7463400000000001,0.7467100000000001,0.74792,0.744,1673913600000.0,48227.0
17,59893.0,0.7461,0.74672,0.74089,0.7489800000000001,0.7405,1674000000000.0,59893.0
18,54444.0,0.7413000000000001,0.7409,0.7426600000000001,0.74363,0.7394000000000001,1674086400000.0,54444.0
19,42111.0,0.7438,0.74321,0.7464915,0.748,0.7405596999999999,1674172800000.0,42111.0
20,16.0,0.7466,0.7467,0.7464915,0.7467,0.7464915,1674259200000.0,16.0
21,1686.0,0.7475,0.7467,0.7478400000000001,0.7480600000000001,0.7444400000000001,1674345600000.0,1686.0
22,37813.0,0.7476,0.74792,0.7478,0.7494700000000001,0.7452000000000001,1674432000000.0,37813.0
23,28776.0,0.7478,0.7476400000000001,0.7477900000000001,0.7489402,0.7453000000000001,1674518400000.0,28776.0
24,25267.0,0.7465,0.74807,0.74726,0.7495700000000001,0.7445,1674604800000.0,25267.0
25,46028.0,0.748,0.7464000000000001,0.75085,0.7516400000000001,0.7456566,1674691200000.0,46028.0
26,36830.0,0.7506,0.7501300000000001,0.7496252,0.7518119,0.7479,1674777600000.0,36830.0
27,13.0,0.7496,0.7495128,0.7495128,0.7498,0.7495128,1674864000000.0,13.0
28,1178.0,0.7513000000000001,0.7502551,0.7515000000000001,0.7517400000000001,0.75002,1674950400000.0,1178.0
29,43453.0,0.7493000000000001,0.7503000999999999,0.74709,0.75095,0.7463000000000001,1675036800000.0,43453.0
30,49466.0,0.7469,0.74714,0.7512584,0.7519,0.7422000000000001,1675123200000.0,49466.0
31,45938.0,0.7511,0.7514000000000001,0.7531800000000001,0.7539,0.7472000000000001,1675209600000.0,45938.0
32,57509.0,0.7518,0.7533000000000001,0.7508300000000001,0.7539800000000001,0.7491,1675296000000.0,57509.0
33,55289.0,0.7479,0.7508300000000001,0.7457121999999999,0.751,0.7441694,1675382400000.0,55289.0
34,31.0,0.7456,0.7454898,0.7454898,0.7458,0.7454898,1675468800000.0,31.0
