,v,vw,o,c,h,l,t,n
0,2920223.0,78.6181,78.79,79.13,79.17,77.72,1672722000000.0,35751.0
1,3976759.0,79.6004,79.2,79.64,80.13,79.185,1672808400000.0,39776.0
2,2295623.0,78.7689,79.52,78.54,79.81,78.445,1672894800000.0,34577.0
3,2274474.0,79.9641,79.4,79.98,80.46,79.17,1672981200000.0,31084.0
4,2825954.0,79.2713,79.96,78.73,80.4,78.555,1673240400000.0,39333.0
5,3397235.0,78.3369,78.97,78.31,78.97,78.02,1673326800000.0,34408.0
6,9122172.0,77.2385,78.44,77.13,78.715,76.695,1673413200000.0,68572.0
7,6059144.0,76.8436,77.36,76.84,77.6,76.35,1673499600000.0,48579.0
8,3800089.0,77.5766,76.69,77.85,78.0,76.57,1673586000000.0,48122.0
9,5615136.0,78.4021,78.16,78.23,78.965,78.08,1673931600000.0,47004.0
10,3996413.0,76.9039,77.99,76.32,78.33,76.31,1674018000000.0,47355.0
11,4436432.0,75.7032,75.77,75.2,76.525,75.185,1674104400000.0,50098.0
12,11899842.0,75.2912,74.75,75.44,75.54,74.03,1674190800000.0,51025.0
13,2463468.0,75.4014,75.54,75.5,75.67,74.94,1674450000000.0,36891.0
14,4219145.0,75.4748,75.8,75.94,75.99,74.5,1674536400000.0,37435.0
15,3142735.0,75.4879,75.48,75.77,75.99,74.625,1674622800000.0,38310.0
16,3743954.9999999995,75.5133,75.62,75.53,75.81,75.12,1674709200000.0,39067.0
17,13482949.0,72.0106,72.85,71.59,73.04,70.94,1674795600000.0,123504.0
18,9191719.0,73.0673,72.2,72.88,73.73,72.05,1675054800000.0,73750.0
19,5890145.0,74.0466,73.38,74.53,74.54,73.26,1675141200000.0,53351.0
20,3722158.0,74.7013,74.43,74.99,75.3,74.11,1675227600000.0,39147.0
21,5024819.0,73.85210000000001,74.18,73.73,74.2,73.31,1675314000000.0,45199.0
22,3861209.0,73.9748,73.96,74.29,74.395,73.22,1675400400000.0,47479.0
23,4186872.0,73.7207,74.2,73.85,74.41,73.28,1675659600000.0,44702.0
24,3755108.0,73.3175,73.43,73.45,73.55,72.71,1675746000000.0,36541.0
25,3230125.0,73.3692,73.12,73.36,73.68,72.805,1675832400000.0,34221.0
26,3740363.0,73.1036,73.51,72.83,73.75,72.81,1675918800000.0,32147.0
27,3524324.0,73.449,72.93,73.55,73.73,72.73,1676005200000.0,37744.0
28,3664280.0,73.7252,73.87,73.77,74.04,73.46,1676264400000.0,31994.0
29,2382506.0,73.3288,73.91,73.18,73.91,72.9,1676350800000.0,29361.0
30,4400229.0,72.5532,72.87,72.7,72.9899,72.29,1676437200000.0,41497.0
31,4701819.0,72.6267,72.32,72.77,72.975,71.74,1676523600000.0,36035.0
32,5019122.0,74.2565,72.96,74.52,74.96,72.96,1676610000000.0,46694.0
33,4095499.0,74.3157,73.9,74.26,74.73,73.9,1676955600000.0,42921.0
34,3645614.0,74.542,74.5,74.41,75.04,74.19,1677042000000.0,39010.0
35,3008641.0,73.6776,74.41,73.66,74.77,72.92,1677128400000.0,31523.0
36,3115005.0,73.0957,73.28,73.13,73.36,72.745,1677214800000.0,33039.0
37,3434594.0,73.5733,73.42,73.6,74.135,73.215,1677474000000.0,40890.0
38,3614341.9999999995,73.2946,73.29,73.3,73.645,72.87,1677560400000.0,33678.0
39,2880849.0,72.4064,73.35,72.55,73.35,71.815,1677646800000.0,36925.0
40,2916133.0,73.4852,72.59,73.77,73.95,72.54,1677733200000.0,32045.0
41,2532609.0,73.78960000000001,74.0,73.95,74.09,73.245,1677819600000.0,32369.0
42,3001579.0,73.4435,73.7,73.29,74.035,73.225,1678078800000.0,40358.0
43,6423223.0,71.6921,73.25,71.5,73.37,71.05,1678165200000.0,62874.0
44,2941861.0,71.7459,71.43,71.96,72.04,71.235,1678251600000.0,37954.0
45,4893419.0,71.5276,72.33,71.34,72.53,70.92,1678338000000.0,49596.0
46,3694585.0,71.4138,71.73,71.31,71.78,71.185,1678424400000.0,45407.0
47,5949937.999999999,71.9153,71.35,71.5,73.13,71.35,1678680000000.0,48617.0
48,5098034.0,71.9406,71.7,72.24,72.32,71.38,1678766400000.0,47695.0
49,5993524.0,72.4955,71.55,72.93,73.06,71.55,1678852800000.0,51555.0
50,4256398.0,73.0143,73.31,72.95,73.45,72.62,1678939200000.0,43097.0
51,9106081.0,72.3171,73.05,72.2,73.05,71.83,1679025600000.0,49224.0
