,v,vw,o,c,h,l,t,n
0,1160861.0,227.0809,230.44,226.93,230.5,224.86,1672722000000.0,27984.0
1,1394287.0,223.0691,226.84,223.27,226.84,221.47,1672808400000.0,38884.0
2,939399.0,223.1869,223.52,223.08,224.35,221.85,1672894800000.0,23463.0
3,945806.0,225.2158,222.98,225.65,226.69,222.98,1672981200000.0,20965.0
4,884018.0,226.2063,225.02,225.39,227.93,224.1,1673240400000.0,22838.0
5,750710.0,225.7503,225.97,224.78,227.64,224.46,1673326800000.0,17827.0
6,1054000.0,225.8157,225.42,226.59,226.66,223.885,1673413200000.0,20038.0
7,794628.0,224.6369,226.65,224.19,226.8,223.67,1673499600000.0,19641.0
8,622204.0,225.923,224.49,226.61,226.69,223.9,1673586000000.0,15678.0
9,1114482.0,227.2565,227.99,226.16,230.82,225.8,1673931600000.0,23768.0
10,1092090.0,219.3169,226.07,216.77,226.17,216.73,1674018000000.0,26509.0
11,1226384.0,216.4393,216.37,216.12,217.9003,215.2,1674104400000.0,26123.0
12,1298288.0,214.6137,216.35,214.52,216.73,213.045,1674190800000.0,27104.0
13,1219597.0,217.5726,214.92,217.04,219.77,214.67,1674450000000.0,27375.0
14,1131608.0,219.2584,216.32,220.29,220.58,215.21,1674536400000.0,23254.0
15,906193.0,219.9496,219.69,220.99,221.06,217.775,1674622800000.0,18598.0
16,823407.0,219.9725,220.47,220.01,220.72,217.39,1674709200000.0,18692.0
17,806536.0,218.9054,220.0,218.76,220.035,217.77,1674795600000.0,16000.0
18,998748.0,222.8523,220.25,223.19,223.63,220.25,1675054800000.0,23200.0
19,1378302.0,223.5973,224.01,224.6,224.6,222.0484,1675141200000.0,21136.0
20,1477770.0,224.8669,222.33,225.3,226.3,222.33,1675227600000.0,35800.0
21,2072543.0,232.3515,226.54,234.42,235.4,225.95,1675314000000.0,46053.0
22,1503984.0,234.6381,235.16,236.28,236.49,230.845,1675400400000.0,34463.0
23,2165580.0,239.8875,237.0,240.53,242.255,236.505,1675659600000.0,36832.0
24,1630561.9999999998,236.8345,238.14,237.11,238.5118,235.59,1675746000000.0,30919.0
25,1002752.0000000001,234.969,237.1,234.84,237.115,233.49,1675832400000.0,24588.0
26,1050415.0,235.0797,234.83,235.15,236.06,233.28,1675918800000.0,21758.0
27,922410.0,238.6178,235.94,239.1,239.68,235.12,1676005200000.0,20501.0
28,931417.0,239.797,239.3,239.91,240.44,238.77,1676264400000.0,20387.0
29,757543.0,239.9869,240.5,238.9,241.88,238.76,1676350800000.0,18899.0
30,932109.0,237.423,238.8,237.47,238.85,236.235,1676437200000.0,19108.0
31,954649.0,234.9685,235.23,235.22,236.42,233.2175,1676523600000.0,21970.0
32,1405027.0,239.3834,235.8,240.69,240.7,234.92,1676610000000.0,25958.0
33,1646837.0,241.3406,241.32,240.9,242.89,238.355,1676955600000.0,30407.0
34,940656.0,240.9203,241.49,239.86,244.38,239.17,1677042000000.0,23075.0
35,766146.0,240.1569,239.86,240.47,241.85,238.57,1677128400000.0,18081.0
36,749698.0,238.9495,239.99,239.02,240.0,237.71,1677214800000.0,18754.0
37,711553.0,239.486,239.87,239.22,240.83,238.52,1677474000000.0,17860.0
38,1194784.0,238.9449,238.56,238.32,241.02,237.83,1677560400000.0,24246.0
39,743892.0,236.0387,236.32,236.65,237.7,234.0103,1677646800000.0,20183.0
40,704016.0,238.2924,236.96,238.4,239.145,236.26,1677733200000.0,16624.0
41,881151.0,238.0716,238.5,238.4,238.83,236.31,1677819600000.0,21715.0
42,924995.0,239.5066,238.0,239.88,240.91,237.08,1678078800000.0,21630.0
43,670602.0,238.9248,240.0,238.35,241.065,238.09,1678165200000.0,17030.0
44,668332.0,239.0383,239.33,238.98,240.31,237.94,1678251600000.0,15822.0
45,774948.0,238.8914,240.35,238.62,241.22,237.5,1678338000000.0,19381.0
46,789081.0,238.2064,238.74,237.74,240.85,236.65,1678424400000.0,20506.0
47,1511452.0,240.0261,237.44,240.57,242.74,236.5922,1678680000000.0,30486.0
48,846043.0,241.3101,241.655,242.0,242.16,239.6,1678766400000.0,20922.0
49,1271525.0,244.0327,241.88,244.42,245.42,241.53,1678852800000.0,27578.0
50,1021261.0,244.2094,244.5,245.0,245.2,242.45,1678939200000.0,23548.0
51,2097362.0,243.7533,246.51,243.15,247.2,242.51,1679025600000.0,25767.0
52,1586497.0,243.8953,243.79,244.54,244.82,242.24,1679284800000.0,30575.0
53,1047477.9999999999,242.966,244.18,243.19,244.945,241.591,1679371200000.0,23424.0
54,823662.0,243.6229,243.16,242.74,245.24,242.21,1679457600000.0,21119.0
55,856343.0,243.9826,243.23,243.98,245.46,242.73,1679544000000.0,24290.0
56,1587305.0,246.7219,245.43,247.86,248.325,244.42,1679630400000.0,26000.0
57,1232734.0,250.2544,248.83,250.9,251.13,248.68,1679889600000.0,30776.0
58,977843.0,253.0706,251.34,252.9,253.97,251.34,1679976000000.0,22498.0
59,984276.0,253.1763,253.93,252.6,254.85,251.92,1680062400000.0,22625.0
60,641257.0,253.0462,251.69,253.29,253.65,251.37,1680148800000.0,18373.0
61,764855.0,254.2949,254.16,254.41,255.05,253.33,1680235200000.0,20545.0
62,817873.0,256.5934,254.0,257.16,257.77,252.795,1680494400000.0,23581.0
63,1001200.0000000001,257.7297,256.84,258.07,258.52,256.6,1680580800000.0,22526.0
64,1323447.0,259.5019,259.26,259.43,261.02,258.715,1680667200000.0,25509.0
65,986343.0,259.71,259.93,259.87,261.17,258.0,1680753600000.0,23223.0
66,538316.0,258.6309,259.2,258.75,259.6,257.415,1681099200000.0,14999.0
67,612043.0,259.4573,258.89,259.14,260.235,258.75,1681185600000.0,16480.0
68,818406.0,258.77,257.32,258.61,259.91,256.79,1681272000000.0,18861.0
69,738628.0,257.8594,257.94,258.0,258.8,256.325,1681358400000.0,17693.0
70,806074.0,256.412,256.99,256.28,257.495,255.77,1681444800000.0,20276.0
71,787538.0,258.3851,257.16,259.03,259.15,256.65,1681704000000.0,19247.0
72,659740.0,259.2791,258.85,259.6,260.0,257.97,1681790400000.0,17492.0
73,835689.0,258.3127,260.6,257.3,260.83,257.17,1681876800000.0,16639.0
74,753684.0,259.6968,258.16,260.42,260.545,257.94,1681963200000.0,18565.0
75,873077.0,260.8441,262.12,260.85,262.64,259.8915,1682049600000.0,18631.0
76,735154.0,261.0012,261.36,261.0,262.315,260.0,1682308800000.0,18447.0
77,1013903.0,263.0881,261.38,262.98,264.04,261.01,1682395200000.0,26247.0
78,1237199.0,261.7465,262.98,261.75,263.36,260.98,1682481600000.0,24860.0
