,v,vw,o,c,h,l,t,n
0,7379570.0,48.2209,48.714,48.148,49.022,47.806,1672722000000.0,20875.0
1,6781965.0,48.8259,48.472,48.872,49.1177,48.44,1672808400000.0,18513.0
2,4477035.0,48.3999,48.576,48.386,48.604,48.1,1672894800000.0,14022.0
3,6099755.0,49.4078,48.822,49.602,49.6898,48.666,1672981200000.0,16339.0
4,5348375.0,49.8506,49.888,49.612,50.1678,49.562,1673240400000.0,13786.0
5,3460755.0,49.787,49.546,50.088,50.092,49.348,1673326800000.0,12473.0
6,3715065.0,50.5448,50.328,50.7,50.724,50.266,1673413200000.0,14441.0
7,6254115.0,51.0577,50.914,51.176,51.276,50.511,1673499600000.0,22278.0
8,3208770.0,51.2037,50.824,51.434,51.4757,50.76,1673586000000.0,11175.0
9,4401385.0,51.3939,51.432,51.31,51.658,51.24,1673931600000.0,14356.0
10,5211400.0,51.1049,51.484,50.65,51.834,50.646,1674018000000.0,16160.0
11,3343495.0,50.1822,50.34,50.14,50.44,49.9,1674104400000.0,10748.0
12,3762595.0,50.5861,50.308,50.96,50.978,50.0,1674190800000.0,11799.0
13,4865705.0,51.4785,51.076,51.598,51.772,50.962,1674450000000.0,15043.0
14,3687010.0,51.4995,51.394,51.42,51.682,51.168,1674536400000.0,11395.0
15,3930655.0,51.2772,51.058,51.558,51.59,50.799,1674622800000.0,12992.0
16,4756215.0,51.7442,51.914,52.0,52.058,51.43,1674709200000.0,13878.0
17,3995475.0,52.1503,51.786,52.2,52.384,51.786,1674795600000.0,12988.0
18,4263630.0,51.9271,51.782,51.634,52.324,51.6,1675054800000.0,13209.0
19,6994775.0,52.446,51.816,52.858,52.872,51.746,1675141200000.0,20268.0
20,6809765.0,53.153,52.756,53.726,54.068,52.584,1675227600000.0,21370.0
21,5486985.0,54.2631,54.048,54.344,54.59,53.861,1675314000000.0,18835.0
22,5923950.0,54.0765,53.898,53.962,54.428,53.77,1675400400000.0,17858.0
23,5504315.0,53.4101,53.608,53.378,53.908,53.1674,1675659600000.0,15049.0
24,6776060.0,53.3608,53.222,53.756,53.892,52.8161,1675746000000.0,17777.0
25,4340695.0,53.2422,53.46,53.132,53.657,53.016,1675832400000.0,12979.0
26,4323150.0,52.9285,53.506,52.488,53.714,52.35,1675918800000.0,12436.0
27,3161490.0,52.4865,52.28,52.624,52.672,52.2,1676005200000.0,11436.0
28,2607855.0,53.0463,52.676,53.252,53.254,52.478,1676264400000.0,10527.0
29,3216225.0,53.1863,52.956,53.266,53.598,52.716,1676350800000.0,12238.0
30,3740185.0,53.3753,52.926,53.658,53.658,52.804,1676437200000.0,12747.0
31,8890025.0,53.3404,52.97,53.248,53.8239,52.938,1676523600000.0,11454.0
