,v,vw,o,c,h,l,t,n
0,6447341.0,150.7559,150.95,151.57,151.71,149.12,1672722000000.0,81775.0
1,7313373.0,152.1293,151.99,152.23,153.39,151.23,1672808400000.0,82849.0
2,5373998.0,150.9567,152.21,150.34,152.48,150.125,1672894800000.0,69747.0
3,7882208.0,153.5211,151.85,153.92,154.46,151.75,1672981200000.0,84457.0
4,5727156.0,153.0017,153.44,152.04,154.8,151.9965,1673240400000.0,75227.0
5,4716522.0,151.9091,152.1,151.89,152.7,150.94,1673326800000.0,70217.0
6,8388287.0,150.6675,152.32,150.66,152.562,149.35,1673413200000.0,81123.0
7,7801586.0,150.0558,151.7,149.81,151.73,149.52,1673499600000.0,89129.0
8,5215776.0,150.289,149.61,150.88,151.05,149.42,1673586000000.0,63377.0
9,9611836.0,150.8589,150.79,150.44,152.13,150.4,1673931600000.0,81346.0
10,10461183.0,147.2042,149.66,146.41,149.93,146.04,1674018000000.0,126483.0
11,12683743.0,143.6074,143.31,142.42,146.22,142.24,1674104400000.0,142330.0
12,8599325.0,142.2627,142.32,142.97,143.15,140.15,1674190800000.0,100017.0
13,7473056.0,141.8102,143.36,141.05,143.7,140.69,1674450000000.0,99772.0
14,6822541.0,141.4976,140.69,141.82,142.38,139.81,1674536400000.0,80757.0
15,6902580.0,140.4833,140.39,141.72,141.75,138.73,1674622800000.0,93048.0
16,5398717.0,141.1064,141.73,141.15,141.74,140.74,1674709200000.0,73142.0
17,6870791.0,140.5067,141.07,140.57,141.36,139.295,1674795600000.0,75732.0
18,6369310.000000001,140.9926,140.96,141.01,142.12,140.28,1675054800000.0,66513.0
19,9373412.0,141.7312,141.23,142.38,142.47,140.76,1675141200000.0,75439.0
20,7207973.0,142.6416,142.08,143.19,144.095,141.35,1675227600000.0,81988.0
21,6444253.0,142.0475,142.17,142.17,142.71,141.21,1675314000000.0,85299.0
22,5993228.0,142.2624,142.78,142.61,143.38,141.17,1675400400000.0,83430.0
23,6108342.0,141.5449,142.01,141.4,142.64,141.01,1675659600000.0,75054.0
24,6278273.0,139.9154,139.97,140.02,140.79,138.78,1675746000000.0,87395.0
25,7124028.0,138.7759,139.06,138.57,139.54,138.4139,1675832400000.0,95099.0
26,6547369.0,137.6189,138.88,137.05,139.33,137.0,1675918800000.0,77007.0
27,8108919.0,137.5525,136.95,138.26,138.3,135.83,1676005200000.0,87701.0
28,5081703.0,139.9043,138.94,140.07,140.45,138.74,1676264400000.0,61386.0
29,5253455.0,139.4736,140.14,139.28,140.24,138.62,1676350800000.0,62508.0
30,5530479.0,138.6378,139.11,138.96,139.3225,138.07,1676437200000.0,65719.0
31,7595656.0,137.4353,137.39,137.14,138.2,136.55,1676523600000.0,93132.0
32,8034878.000000001,138.9231,136.59,140.01,140.04,136.59,1676610000000.0,74088.0
33,6899545.0,140.0334,138.87,139.91,140.89,138.87,1676955600000.0,80564.0
34,6126346.0,140.6096,139.98,140.5,141.58,139.88,1677042000000.0,73220.0
35,5835447.999999999,140.021,140.23,140.05,141.14,139.1,1677128400000.0,71265.0
36,5260669.0,138.9791,138.93,139.26,139.43,138.08,1677214800000.0,74511.0
37,5821127.0,139.2732,139.61,139.14,140.465,138.53,1677474000000.0,70025.0
