,v,vw,o,c,h,l,t,n
0,88681.0,81.3889,81.27,81.67,82.2,80.56,1672722000000.0,2467.0
1,122900.0,80.9298,82.31,79.93,82.85,79.38,1672808400000.0,2336.0
2,99855.0,79.4336,79.7,80.0,80.195,78.25,1672894800000.0,2370.0
3,76164.0,83.1706,81.12,84.36,84.42,79.85,1672981200000.0,2129.0
4,77462.0,85.2973,84.33,85.52,85.75,84.33,1673240400000.0,2156.0
5,102996.0,87.0989,85.46,87.43,87.43,84.87,1673326800000.0,2296.0
6,53377.0,86.9632,87.52,86.99,88.35,86.335,1673413200000.0,2672.0
7,82873.0,87.4886,87.49,88.46,88.76,86.34,1673499600000.0,3407.0
8,84825.0,88.312,88.03,89.65,89.66,87.12,1673586000000.0,2071.0
9,60945.0,90.6178,89.48,91.33,91.64,88.89,1673931600000.0,1714.0
10,43341.0,90.7156,91.5,90.7,92.49,89.68,1674018000000.0,1498.0
11,50715.0,91.1413,90.77,91.89,91.97,89.715,1674104400000.0,1557.0
12,69572.0,93.4835,92.6,94.24,94.37,91.72,1674190800000.0,1718.0
13,103216.0,95.7774,94.29,95.93,96.83,93.19,1674450000000.0,3341.0
14,57112.0,93.6339,94.55,92.53,95.92,92.43,1674536400000.0,1674.0
15,52071.0,93.6647,91.27,94.74,94.78,91.27,1674622800000.0,1463.0
16,65039.0,95.326,95.04,95.74,96.43,93.5,1674709200000.0,1787.0
17,57352.0,95.1786,95.59,95.41,96.49,93.82,1674795600000.0,1611.0
18,92588.0,95.5134,94.49,95.9,96.59,94.06,1675054800000.0,2624.0
19,78009.0,98.686,95.69,99.15,99.45,95.21,1675141200000.0,2056.0
20,92131.0,99.3355,98.41,99.95,101.02,97.61,1675227600000.0,2691.0
21,152226.0,103.4383,99.67,103.58,104.825,99.22,1675314000000.0,4518.0
22,90564.0,103.1305,102.31,103.19,104.27,101.5918,1675400400000.0,2583.0
23,83837.0,101.4467,102.87,100.58,103.31,99.94,1675659600000.0,2809.0
24,79152.0,99.8935,99.73,101.02,101.02,98.465,1675746000000.0,2915.0
25,75673.0,99.989,100.54,99.75,101.41,98.98,1675832400000.0,2520.0
26,91127.0,99.0568,100.71,98.09,101.34,97.655,1675918800000.0,2552.0
27,99457.0,98.1914,97.54,98.26,99.18,96.78,1676005200000.0,3140.0
28,65660.0,98.86,98.79,99.59,99.84,97.74,1676264400000.0,1961.0
29,56338.0,99.2693,99.1,99.64,100.78,97.95,1676350800000.0,1897.0
30,77434.0,99.3693,98.8,99.91,100.095,98.44,1676437200000.0,2363.0
31,89059.0,100.7682,98.47,100.75,101.84,96.9823,1676523600000.0,2437.0
32,72813.0,101.3669,100.97,101.68,102.43,100.22,1676610000000.0,2629.0
33,117529.0,99.8413,100.08,99.6,101.385,98.62,1676955600000.0,2889.0
34,79642.0,99.4393,99.11,99.17,100.3299,98.73,1677042000000.0,3034.0
35,90520.0,98.4336,99.31,99.94,100.2,95.01,1677128400000.0,3209.0
36,114729.0,98.0112,99.28,98.75,100.25,96.56,1677214800000.0,2688.0
37,104180.0,99.188,99.44,99.77,99.86,98.24,1677474000000.0,3161.0
38,145079.0,101.0682,99.23,101.33,102.51,98.12,1677560400000.0,3143.0
39,82746.0,101.943,101.54,101.89,103.265,100.4913,1677646800000.0,2929.0
40,98267.0,101.0826,101.26,101.06,101.93,100.195,1677733200000.0,3625.0
41,69661.0,102.1293,101.62,102.9,103.11,100.69,1677819600000.0,2152.0
42,152995.0,98.0687,103.17,95.81,103.17,95.78,1678078800000.0,4555.0
43,87576.0,95.57,95.65,96.01,96.46,94.78,1678165200000.0,3007.0
44,75990.0,95.5833,96.3,95.98,97.11,94.72,1678251600000.0,2578.0
45,81119.0,95.2245,95.86,95.01,96.61,94.42,1678338000000.0,2391.0
46,77895.0,94.1572,94.58,94.56,94.93,92.78,1678424400000.0,2407.0
47,88803.0,96.0101,93.35,95.87,97.73,92.38,1678680000000.0,3189.0
